bit_position,dimension,threshold,error_count,total,BER
264,88,0,189,881,0.21452894438138478
265,88,1,246,881,0.2792281498297389
266,88,2,157,881,0.1782065834279228
267,89,0,187,881,0.2122587968217934
268,89,1,234,881,0.2656072644721907
269,89,2,162,881,0.18388195232690124
270,90,0,180,881,0.2043132803632236
271,90,1,244,881,0.27695800227014755
272,90,2,185,881,0.20998864926220204
273,91,0,183,881,0.20771850170261066
274,91,1,241,881,0.2735527809307605
275,91,2,181,881,0.2054483541430193
276,92,0,205,881,0.23269012485811577
277,92,1,242,881,0.2746878547105562
278,92,2,168,881,0.19069239500567536
279,93,0,194,881,0.22020431328036322
280,93,1,248,881,0.2814982973893303
281,93,2,181,881,0.2054483541430193
282,94,0,185,881,0.20998864926220204
283,94,1,223,881,0.25312145289443816
284,94,2,151,881,0.1713961407491487
285,95,0,190,881,0.21566401816118047
286,95,1,232,881,0.2633371169125993
287,95,2,179,881,0.20317820658342792
288,96,0,167,881,0.18955732122587968
289,96,1,238,881,0.27014755959137343
290,96,2,194,881,0.22020431328036322
291,97,0,181,881,0.2054483541430193
292,97,1,229,881,0.2599318955732123
293,97,2,177,881,0.20090805902383654
294,98,0,194,881,0.22020431328036322
295,98,1,230,881,0.26106696935300794
296,98,2,184,881,0.20885357548240635
297,99,0,210,881,0.2383654937570942
298,99,1,269,881,0.30533484676503975
299,99,2,180,881,0.2043132803632236
300,100,0,179,881,0.20317820658342792
301,100,1,219,881,0.24858115777525538
302,100,2,174,881,0.19750283768444948
303,101,0,203,881,0.2304199772985244
304,101,1,206,881,0.23382519863791146
305,101,2,148,881,0.16799091940976163
306,102,0,160,881,0.18161180476730987
307,102,1,219,881,0.24858115777525538
308,102,2,197,881,0.22360953461975028
309,103,0,214,881,0.24290578887627695
310,103,1,230,881,0.26106696935300794
311,103,2,170,881,0.19296254256526674
312,104,0,190,881,0.21566401816118047
313,104,1,242,881,0.2746878547105562
314,104,2,176,881,0.19977298524404086
315,105,0,186,881,0.21112372304199772
316,105,1,234,881,0.2656072644721907
317,105,2,185,881,0.20998864926220204
318,106,0,182,881,0.20658342792281498
319,106,1,227,881,0.2576617480136209
320,106,2,164,881,0.18615209988649262
321,107,0,195,881,0.2213393870601589
322,107,1,205,881,0.23269012485811577
323,107,2,182,881,0.20658342792281498
324,108,0,205,881,0.23269012485811577
325,108,1,207,881,0.23496027241770714
326,108,2,165,881,0.1872871736662883
327,109,0,165,881,0.1872871736662883
328,109,1,229,881,0.2599318955732123
329,109,2,203,881,0.2304199772985244
330,110,0,179,881,0.20317820658342792
331,110,1,212,881,0.24063564131668558
332,110,2,185,881,0.20998864926220204
333,111,0,164,881,0.18615209988649262
334,111,1,229,881,0.2599318955732123
335,111,2,188,881,0.2133938706015891
336,112,0,195,881,0.2213393870601589
337,112,1,239,881,0.27128263337116915
338,112,2,168,881,0.19069239500567536
339,113,0,158,881,0.1793416572077185
340,113,1,216,881,0.24517593643586832
341,113,2,167,881,0.18955732122587968
342,114,0,191,881,0.21679909194097616
343,114,1,221,881,0.2508513053348468
344,114,2,169,881,0.19182746878547105
345,115,0,151,881,0.1713961407491487
346,115,1,237,881,0.2690124858115778
347,115,2,174,881,0.19750283768444948
348,116,0,163,881,0.18501702610669693
349,116,1,221,881,0.2508513053348468
350,116,2,186,881,0.21112372304199772
351,117,0,178,881,0.20204313280363223
352,117,1,232,881,0.2633371169125993
353,117,2,169,881,0.19182746878547105
354,118,0,152,881,0.17253121452894438
355,118,1,245,881,0.27809307604994327
356,118,2,198,881,0.22474460839954596
357,119,0,165,881,0.1872871736662883
358,119,1,214,881,0.24290578887627695
359,119,2,176,881,0.19977298524404086
360,120,0,165,881,0.1872871736662883
361,120,1,214,881,0.24290578887627695
362,120,2,191,881,0.21679909194097616
363,121,0,174,881,0.19750283768444948
364,121,1,234,881,0.2656072644721907
365,121,2,150,881,0.170261066969353
366,122,0,147,881,0.16685584562996594
367,122,1,244,881,0.27695800227014755
368,122,2,185,881,0.20998864926220204
369,123,0,182,881,0.20658342792281498
370,123,1,232,881,0.2633371169125993
371,123,2,174,881,0.19750283768444948
372,124,0,189,881,0.21452894438138478
373,124,1,223,881,0.25312145289443816
374,124,2,195,881,0.2213393870601589
375,125,0,196,881,0.2224744608399546
376,125,1,242,881,0.2746878547105562
377,125,2,154,881,0.17480136208853575
378,126,0,159,881,0.18047673098751418
379,126,1,209,881,0.23723041997729852
380,126,2,195,881,0.2213393870601589
381,127,0,177,881,0.20090805902383654
382,127,1,212,881,0.24063564131668558
383,127,2,200,881,0.22701475595913734
384,128,0,182,881,0.20658342792281498
385,128,1,233,881,0.264472190692395
386,128,2,167,881,0.18955732122587968
387,129,0,153,881,0.17366628830874006
388,129,1,229,881,0.2599318955732123
389,129,2,218,881,0.2474460839954597
390,130,0,167,881,0.18955732122587968
391,130,1,226,881,0.2565266742338252
392,130,2,187,881,0.2122587968217934
393,131,0,153,881,0.17366628830874006
394,131,1,228,881,0.25879682179341656
395,131,2,182,881,0.20658342792281498
396,132,0,178,881,0.20204313280363223
397,132,1,224,881,0.2542565266742338
398,132,2,196,881,0.2224744608399546
399,133,0,196,881,0.2224744608399546
400,133,1,243,881,0.2758229284903519
401,133,2,202,881,0.2292849035187287
402,134,0,159,881,0.18047673098751418
403,134,1,225,881,0.25539160045402953
404,134,2,159,881,0.18047673098751418
405,135,0,171,881,0.19409761634506242
406,135,1,206,881,0.23382519863791146
407,135,2,192,881,0.21793416572077184
408,136,0,180,881,0.2043132803632236
409,136,1,233,881,0.264472190692395
410,136,2,169,881,0.19182746878547105
411,137,0,178,881,0.20204313280363223
412,137,1,230,881,0.26106696935300794
413,137,2,200,881,0.22701475595913734
414,138,0,192,881,0.21793416572077184
415,138,1,228,881,0.25879682179341656
416,138,2,180,881,0.2043132803632236
417,139,0,213,881,0.24177071509648126
418,139,1,228,881,0.25879682179341656
419,139,2,165,881,0.1872871736662883
420,140,0,203,881,0.2304199772985244
421,140,1,243,881,0.2758229284903519
422,140,2,176,881,0.19977298524404086
423,141,0,184,881,0.20885357548240635
424,141,1,247,881,0.28036322360953464
425,141,2,157,881,0.1782065834279228
426,142,0,180,881,0.2043132803632236
427,142,1,220,881,0.24971623155505107
428,142,2,181,881,0.2054483541430193
429,143,0,206,881,0.23382519863791146
430,143,1,259,881,0.2939841089670829
431,143,2,191,881,0.21679909194097616
432,144,0,215,881,0.24404086265607264
433,144,1,222,881,0.25198637911464244
434,144,2,169,881,0.19182746878547105
435,145,0,179,881,0.20317820658342792
436,145,1,218,881,0.2474460839954597
437,145,2,202,881,0.2292849035187287
438,146,0,180,881,0.2043132803632236
439,146,1,235,881,0.2667423382519864
440,146,2,185,881,0.20998864926220204
441,147,0,191,881,0.21679909194097616
442,147,1,235,881,0.2667423382519864
443,147,2,187,881,0.2122587968217934
444,148,0,162,881,0.18388195232690124
445,148,1,230,881,0.26106696935300794
446,148,2,172,881,0.1952326901248581
447,149,0,219,881,0.24858115777525538
448,149,1,234,881,0.2656072644721907
449,149,2,164,881,0.18615209988649262
450,150,0,167,881,0.18955732122587968
451,150,1,236,881,0.26787741203178206
452,150,2,168,881,0.19069239500567536
