dim,f_stat,p_value,p_adj_fdr,significant_after_fdr,eta_sq
341,1.9373942455455213,0.08744879311430748,0.260312686479799,False,0.02627424122318031
478,1.9188126013108218,0.09045459431193661,0.2654837986946632,False,0.026028809978742313
91,1.9183563760503073,0.09052958743171285,0.2654837986946632,False,0.026022782110917363
41,1.9170688887084824,0.09074153275696496,0.2654837986946632,False,0.026005765163785322
439,1.913623740000168,0.09131093900513795,0.26562503703091633,False,0.025960245110086506
179,1.9105161050098038,0.0918274053798285,0.26562503703091633,False,0.025919178353688236
407,1.9040544510020345,0.09290997479107316,0.26724666906196326,False,0.025833776726387626
285,1.8994752941122994,0.09368430917395672,0.26750642961737775,False,0.025773258943676693
480,1.8973529107798501,0.09404522916235937,0.26750642961737775,False,0.025745200818491798
4,1.8886551626491468,0.09553781891619681,0.27025062588449045,False,0.025630200827878022
508,1.8821198960194003,0.09667371564267914,0.2719612220277567,False,0.025543774675517612
345,1.8752183699076337,0.09788683202811645,0.27386916939014,False,0.025452492594898037
126,1.8689059944062143,0.09900870308289796,0.27550247814371603,False,0.02536899220351345
509,1.8651817726297866,0.09967615524885563,0.27561246086421365,False,0.025319722110499553
11,1.8626911537091184,0.1001248392983276,0.27561246086421365,False,0.025286768143477245
431,1.8576561113893146,0.10103760327846738,0.2766377159282101,False,0.025220139214780682
25,1.841431641474889,0.10403131439429884,0.2833193243078777,False,0.02500537896765575
129,1.8374031337381798,0.10478721580217594,0.2838680131783814,False,0.02495203345791351
47,1.8285516261104104,0.10646589914338496,0.28689758084954264,False,0.024834820806938277
361,1.8004826790951576,0.11195412024623229,0.3001073799270729,False,0.024462923229136294
18,1.7949408795180775,0.11306792689897269,0.3015144717305938,False,0.024389459341243293
33,1.783753074819211,0.11534749975079914,0.30599958483113554,False,0.02424112568906343
196,1.771613389073626,0.11786857325308533,0.3110758221937098,False,0.024080124408032394
436,1.7665884184743197,0.11892678900446957,0.31225905625788936,False,0.02401345692234768
48,1.7589288133454173,0.12055654697575656,0.3149232247529967,False,0.02391183104214414
479,1.7441324652983432,0.12376266863050749,0.32122608537872815,False,0.02371545653460255
246,1.7409350075268901,0.12446563789044561,0.32122608537872815,False,0.023672998279022216
505,1.736747227230039,0.12539183319882194,0.32122608537872815,False,0.02361740204635706
317,1.736354827140383,0.12547893960106568,0.32122608537872815,False,0.023612196430366304
331,1.725843006669087,0.12783298661021544,0.3256243241016433,False,0.02347260187289766
463,1.7085603206277873,0.13179070387165948,0.33404376426876065,False,0.02324301392180267
458,1.6983830850865957,0.13417296526178982,0.3384066907095388,False,0.023107758965990922
